iter	Passed	Remaining
736	21329	7611
737	21391	7594
738	21435	7570
739	21479	7547
740	21519	7521
741	21557	7495
742	21591	7468
743	21630	7442
744	21672	7418
745	21708	7391
746	21739	7362
747	21774	7335
748	21811	7309
749	21849	7283
750	21901	7261
751	21959	7241
752	22001	7216
753	22040	7190
754	22093	7169
755	22145	7147
756	22198	7125
757	22258	7106
758	22298	7080
759	22367	7063
760	22446	7049
761	22493	7025
762	22541	7001
763	22580	6975
764	22618	6948
765	22656	6921
766	22694	6894
767	22735	6868
768	22775	6841
769	22816	6815
770	22859	6789
771	22909	6765
772	22952	6740
773	23008	6718
774	23066	6696
775	23120	6674
776	23183	6653
777	23231	6629
778	23283	6605
779	23330	6580
780	23378	6555
781	23431	6532
782	23480	6507
783	23522	6480
784	23565	6454
785	23605	6426
786	23652	6401
787	23695	6375
788	23746	6350
789	23795	6325
790	23840	6299
791	23886	6273
792	23928	6246
793	23972	6219
794	24015	6192
795	24059	6166
796	24117	6142
797	24159	6115
798	24196	6087
799	24236	6059
800	24273	6030
801	24313	6002
802	24349	5973
803	24386	5945
804	24425	5916
805	24463	5888
806	24500	5859
807	24540	5831
808	24577	5802
809	24615	5774
810	24655	5745
811	24698	5718
812	24736	5689
813	24771	5660
814	24807	5631
815	24838	5600
816	24873	5571
817	24910	5542
818	24946	5513
819	24986	5484
820	25022	5455
821	25061	5426
822	25096	5397
823	25137	5369
824	25175	5340
825	25215	5311
826	25250	5282
827	25285	5252
828	25322	5223
829	25358	5193
830	25394	5164
831	25434	5135
832	25475	5107
833	25508	5077
834	25543	5047
835	25577	5017
836	25613	4988
837	25648	4958
838	25682	4928
839	25720	4899
840	25758	4869
841	25794	4840
842	25831	4810
843	25867	4781
844	25900	4750
845	25932	4720
846	25973	4691
847	26022	4664
848	26068	4636
849	26114	4608
850	26153	4579
851	26196	4550
852	26240	4522
853	26281	4493
854	26318	4463
855	26362	4434
856	26416	4407
857	26464	4379
858	26514	4352
859	26564	4324
860	26617	4297
861	26667	4269
862	26720	4241
863	26775	4214
864	26822	4186
865	26866	4157
866	26923	4130
867	26965	4100
868	27012	4072
869	27052	4042
870	27099	4013
871	27137	3983
872	27178	3953
873	27219	3924
874	27261	3894
875	27298	3864
876	27335	3833
877	27368	3802
878	27407	3772
879	27445	3742
880	27493	3713
881	27542	3684
882	27589	3655
883	27631	3625
884	27680	3596
885	27727	3567
886	27771	3537
887	27820	3508
888	27863	3479
889	27906	3449
890	27952	3419
891	27992	3389
892	28040	3359
893	28086	3330
894	28138	3301
895	28195	3272
896	28240	3242
897	28279	3212
898	28315	3181
899	28358	3150
900	28405	3121
901	28446	3090
902	28483	3059
903	28521	3028
904	28558	2997
905	28599	2967
906	28634	2936
907	28669	2904
908	28702	2873
909	28751	2843
910	28786	2812
911	28828	2781
912	28868	2750
913	28905	2719
914	28948	2689
915	28994	2658
916	29038	2628
917	29081	2597
918	29117	2566
919	29167	2536
920	29215	2506
921	29256	2475
922	29298	2444
923	29338	2413
924	29380	2382
925	29428	2351
926	29485	2321
927	29536	2291
928	29585	2261
929	29628	2230
930	29669	2198
931	29709	2167
932	29750	2136
933	29785	2104
934	29821	2073
935	29857	2041
936	29890	2009
937	29923	1977
938	29958	1946
939	29992	1914
940	30027	1882
941	30064	1851
942	30103	1819
943	30143	1788
944	30187	1756
945	30228	1725
946	30265	1693
947	30304	1662
948	30336	1630
949	30372	1598
950	30416	1567
951	30463	1535
952	30505	1504
953	30546	1472
954	30579	1440
955	30615	1409
956	30650	1377
957	30694	1345
958	30737	1314
959	30779	1282
960	30831	1251
961	30868	1219
962	30906	1187
963	30953	1155
964	30992	1124
965	31033	1092
966	31069	1060
967	31110	1028
968	31144	996
969	31182	964
970	31230	932
971	31265	900
972	31302	868
973	31335	836
974	31369	804
975	31407	772
976	31443	740
977	31481	708
978	31519	676
979	31554	643
980	31594	611
981	31636	579
982	31676	547
983	31717	515
984	31759	483
985	31800	451
986	31840	419
987	31877	387
988	31917	354
989	31957	322
990	31998	290
991	32040	258
992	32077	226
993	32112	193
994	32146	161
995	32183	129
996	32229	96
997	32273	64
998	32311	32
999	32348	0
